Hypothesis,Model,ARI_Score,CI_Lower,CI_Upper,N_Bootstraps,P_Value,P_Value_Perm
physical_vs_conceptual,Word2Vec CBOW,0.1325854156,0,0.5460554677,2000,0.3411991327,0.271
tokonoma_as_conceptual,Word2Vec CBOW,0.09957122439,0,0.4401137388,2000,0.3751543661,0.3072
physical_vs_conceptual,Word2Vec Skip-gram,-0.1093942054,-0.1254243682,0.02533322521,2000,0.004448552879,0.2832
tokonoma_as_conceptual,Word2Vec Skip-gram,-0.09158948771,-0.1223796929,0.07745473425,2000,0.07239257787,0.2786
physical_vs_conceptual,BERT Cased (Final),0.718233945,0.3824474533,1,2000,5.137598034e-06,0
tokonoma_as_conceptual,BERT Cased (Final),0.5972896957,0.2316545892,1,2000,0.002309104919,0.0002
physical_vs_conceptual,Word2Vec CBOWKMeans+L2,-0.09978308026,-0.1223796929,0.07745473425,2000,0.05030412287,0.2832
tokonoma_as_conceptual,Word2Vec CBOWKMeans+L2,-0.07774066201,-0.1223796929,0.1342334156,2000,0.2350069092,0.3118
physical_vs_conceptual,Word2Vec Skip-gramKMeans+L2,0.2082111437,-0.0211584237,0.5902192243,2000,0.181877137,0.0046
tokonoma_as_conceptual,Word2Vec Skip-gramKMeans+L2,0.1381772365,-0.03593552363,0.5806451613,2000,0.3796824361,0.0322
physical_vs_conceptual,BERT Cased (Final)KMeans+L2,0.718233945,0.3824474533,1,2000,5.137598034e-06,0
tokonoma_as_conceptual,BERT Cased (Final)KMeans+L2,0.5972896957,0.2316545892,1,2000,0.002309104919,0.0002
physical_vs_conceptual,Word2Vec CBOW[Agglo +L2],-0.09978308026,-0.1223796929,0.07745473425,2000,0.05030412287,0.2962
tokonoma_as_conceptual,Word2Vec CBOW[Agglo +L2],-0.07774066201,-0.1208360549,0.1353558926,2000,0.234238253,0.3244
physical_vs_conceptual,Word2Vec Skip-gram[Agglo +L2],0.0363372093,-0.06768953069,0.3737226277,2000,0.7469256146,0.183
tokonoma_as_conceptual,Word2Vec Skip-gram[Agglo +L2],0.0005824111823,-0.06003584229,0.2824647933,2000,0.9946814746,1
physical_vs_conceptual,BERT Cased (Final)[Agglo +L2],0.718233945,0.3825108668,1,2000,5.126157714e-06,0
tokonoma_as_conceptual,BERT Cased (Final)[Agglo +L2],0.5972896957,0.2225225821,1,2000,0.002599578001,0
