Hypothesis,Model,ARI_Score,CI_Lower,CI_Upper,N_Bootstraps,P_Value,P_Value_Perm
physical_vs_conceptual,Word2Vec CBOW,0.1325854156,0,0.5460554677,2000,0.3411991327,0.271
tokonoma_as_conceptual,Word2Vec CBOW,0.09957122439,0,0.4401137388,2000,0.3751543661,0.3072
physical_vs_conceptual,Word2Vec Skip-gram,-0.1093942054,-0.1254243682,0.02533322521,2000,0.004448552879,0.2832
tokonoma_as_conceptual,Word2Vec Skip-gram,-0.09158948771,-0.1223796929,0.07745473425,2000,0.07239257787,0.2786
physical_vs_conceptual,BERT Cased (Final),0.8520998174,0.5149368648,1,2000,5.731111213e-12,0
tokonoma_as_conceptual,BERT Cased (Final),0.7189189189,0.3616177637,1,2000,1.012262856e-05,0
physical_vs_conceptual,Word2Vec CBOWKMeans+L2,0.2082111437,-0.0211584237,0.5899000389,2000,0.1816490111,0.0056
tokonoma_as_conceptual,Word2Vec CBOWKMeans+L2,0.1381772365,-0.03620715316,0.476391231,2000,0.2906556016,0.0334
physical_vs_conceptual,Word2Vec Skip-gramKMeans+L2,0.3764534884,0.07745473425,0.8477274244,2000,0.05538902788,0.0008
tokonoma_as_conceptual,Word2Vec Skip-gramKMeans+L2,0.2845078626,0.007518796992,0.7148309819,2000,0.1148477451,0.005
physical_vs_conceptual,BERT Cased (Final)KMeans+L2,0.8520998174,0.5149368648,1,2000,5.731111213e-12,0
tokonoma_as_conceptual,BERT Cased (Final)KMeans+L2,0.7189189189,0.3616177637,1,2000,1.012262856e-05,0
physical_vs_conceptual,Word2Vec CBOW[Agglo +L2],-0.09978308026,-0.1223796929,0.07760713874,2000,0.05047962745,0.2874
tokonoma_as_conceptual,Word2Vec CBOW[Agglo +L2],-0.06589735803,-0.1208360549,0.1173300762,2000,0.2780939104,0.631
physical_vs_conceptual,Word2Vec Skip-gram[Agglo +L2],0.4760854046,0.138372093,0.8518650781,2000,0.008905528688,0
tokonoma_as_conceptual,Word2Vec Skip-gram[Agglo +L2],0.3734583928,0.0564516129,0.8477274244,2000,0.06429594717,0.0012
physical_vs_conceptual,BERT Cased (Final)[Agglo +L2],0.3944839114,0.06466512702,0.8468809074,2000,0.04805083094,0.0004
tokonoma_as_conceptual,BERT Cased (Final)[Agglo +L2],0.3036925396,0.01537818638,0.7244923051,2000,0.09318718721,0.0042
