Hypothesis,Model,ARI_Score,CI_Lower,CI_Upper,N_Bootstraps,P_Value,P_Value_Perm
physical_vs_conceptual,Word2Vec CBOW,0.1325854156,0,0.5078864353,2000,0.3061523993,0.2754
tokonoma_as_conceptual,Word2Vec CBOW,0.09957122439,0,0.4053452843,2000,0.3355825728,0.3126
physical_vs_conceptual,Word2Vec Skip-gram,-0.09978308026,-0.1223796929,0.07745473425,2000,0.05030412287,0.2842
tokonoma_as_conceptual,Word2Vec Skip-gram,-0.07774066201,-0.1208360549,0.1342334156,2000,0.2321860304,0.3166
physical_vs_conceptual,BERT Cased (Final),0.718233945,0.3700547778,1,2000,7.843938571e-06,0.0002
tokonoma_as_conceptual,BERT Cased (Final),0.5972896957,0.2317073171,1,2000,0.002307498725,0.0002
physical_vs_conceptual,Word2Vec CBOWKMeans+L2,-0.0293255132,-0.05342831701,0.1401218451,2000,0.5525562927,0.5376
tokonoma_as_conceptual,Word2Vec CBOWKMeans+L2,-0.02057958841,-0.04628537736,0.2038669172,2000,0.7470803826,0.793
physical_vs_conceptual,Word2Vec Skip-gramKMeans+L2,0.7105966162,0.3658015769,1,2000,1.121992927e-05,0
tokonoma_as_conceptual,Word2Vec Skip-gramKMeans+L2,0.5854738707,0.2479030943,1,2000,0.002276668985,0
physical_vs_conceptual,BERT Cased (Final)KMeans+L2,0.718233945,0.3700547778,1,2000,7.843938571e-06,0.0002
tokonoma_as_conceptual,BERT Cased (Final)KMeans+L2,0.5972896957,0.2317073171,1,2000,0.002307498725,0.0002
physical_vs_conceptual,Word2Vec CBOW[Agglo +L2],-0.1093942054,-0.1223796929,0.03211678832,2000,0.005509463013,0.2826
tokonoma_as_conceptual,Word2Vec CBOW[Agglo +L2],-0.09158948771,-0.1223796929,0.07745473425,2000,0.07239257787,0.2798
physical_vs_conceptual,Word2Vec Skip-gram[Agglo +L2],-0.09978308026,-0.1223796929,0.07745473425,2000,0.05030412287,0.2842
tokonoma_as_conceptual,Word2Vec Skip-gram[Agglo +L2],-0.07774066201,-0.1208360549,0.1342334156,2000,0.2321860304,0.3166
physical_vs_conceptual,BERT Cased (Final)[Agglo +L2],0.718233945,0.3824474533,1,2000,5.137598034e-06,0
tokonoma_as_conceptual,BERT Cased (Final)[Agglo +L2],0.5972896957,0.2249560633,1,2000,0.002519758514,0.0004
