Hypothesis,Model,ARI_Score,CI_Lower,CI_Upper,N_Bootstraps,P_Value,P_Value_Perm
physical_vs_conceptual,Word2Vec CBOW,0.1325854156,0,0.5088406611,2000,0.3070603324,0.2598
tokonoma_as_conceptual,Word2Vec CBOW,0.09957122439,0,0.404777704,2000,0.3349053731,0.2984
physical_vs_conceptual,Word2Vec Skip-gram,-0.1093942054,-0.1254243682,0.03211678832,2000,0.00648903144,0.2796
tokonoma_as_conceptual,Word2Vec Skip-gram,-0.09158948771,-0.1223796929,0.08355091384,2000,0.0812541293,0.2812
physical_vs_conceptual,BERT Cased (Final),0.718233945,0.3700547778,1,2000,7.843938571e-06,0
tokonoma_as_conceptual,BERT Cased (Final),0.5972896957,0.2197320752,1,2000,0.002693307287,0.0002
physical_vs_conceptual,Word2Vec CBOWKMeans+L2,-0.03643974301,-0.07774066201,0.1404063678,2000,0.5125932322,0.3468
tokonoma_as_conceptual,Word2Vec CBOWKMeans+L2,-0.03664156822,-0.0659080291,0.1403435274,2000,0.4861742243,0.4808
physical_vs_conceptual,Word2Vec Skip-gramKMeans+L2,0.4760854046,0.1428571429,0.8517110266,2000,0.008468972678,0.0002
tokonoma_as_conceptual,Word2Vec Skip-gramKMeans+L2,0.3734583928,0.07630828473,0.8428881314,2000,0.05616859635,0.0024
physical_vs_conceptual,BERT Cased (Final)KMeans+L2,0.718233945,0.3700547778,1,2000,7.843938571e-06,0
tokonoma_as_conceptual,BERT Cased (Final)KMeans+L2,0.5972896957,0.2197320752,1,2000,0.002693307287,0.0002
physical_vs_conceptual,Word2Vec CBOW[Agglo +L2],-0.08127962085,-0.1208360549,0.138372093,2000,0.2190005044,0.326
tokonoma_as_conceptual,Word2Vec CBOW[Agglo +L2],-0.0659080291,-0.1208360549,0.1318101933,2000,0.3064906054,0.3374
physical_vs_conceptual,Word2Vec Skip-gram[Agglo +L2],0.0251592877,-0.1093942054,0.3737226277,2000,0.8382425806,0.6802
tokonoma_as_conceptual,Word2Vec Skip-gram[Agglo +L2],-0.007075087216,-0.09542964145,0.2821153784,2000,0.9414403164,1
physical_vs_conceptual,BERT Cased (Final)[Agglo +L2],0.718233945,0.3825108668,1,2000,5.126157714e-06,0
tokonoma_as_conceptual,BERT Cased (Final)[Agglo +L2],0.5972896957,0.2233962264,1,2000,0.002570717548,0.0002
