Hypothesis,Model,ARI_Score,CI_Lower,CI_Upper,N_Bootstraps,P_Value,P_Value_Perm
physical_vs_conceptual,Word2Vec CBOW,0.1325854156,0,0.5088406611,2000,0.3070603324,0.2598
tokonoma_as_conceptual,Word2Vec CBOW,0.09957122439,0,0.404777704,2000,0.3349053731,0.2984
physical_vs_conceptual,Word2Vec Skip-gram,-0.1093942054,-0.1254243682,0.03211678832,2000,0.00648903144,0.2796
tokonoma_as_conceptual,Word2Vec Skip-gram,-0.09158948771,-0.1223796929,0.08355091384,2000,0.0812541293,0.2812
physical_vs_conceptual,BERT Cased (Final),0.8520998174,0.5723237598,1,2000,5.710333354e-15,0
tokonoma_as_conceptual,BERT Cased (Final),0.7189189189,0.3616177637,1,2000,1.012262856e-05,0
physical_vs_conceptual,Word2Vec CBOWKMeans+L2,-0.01869991095,-0.1142857143,0.2855942881,2000,0.8545515556,0.7098
tokonoma_as_conceptual,Word2Vec CBOWKMeans+L2,-0.03631532329,-0.1093942054,0.2062158757,2000,0.6519531927,0.6646
physical_vs_conceptual,Word2Vec Skip-gramKMeans+L2,0.3764534884,0.07303315836,0.8344219464,2000,0.0526030034,0.0004
tokonoma_as_conceptual,Word2Vec Skip-gramKMeans+L2,0.2845078626,0.01078465213,0.7148198612,2000,0.1131681701,0.0034
physical_vs_conceptual,BERT Cased (Final)KMeans+L2,0.8520998174,0.5723237598,1,2000,5.710333354e-15,0
tokonoma_as_conceptual,BERT Cased (Final)KMeans+L2,0.7189189189,0.3616177637,1,2000,1.012262856e-05,0
physical_vs_conceptual,Word2Vec CBOW[Agglo +L2],-0.08127962085,-0.1208360549,0.138372093,2000,0.2190005044,0.326
tokonoma_as_conceptual,Word2Vec CBOW[Agglo +L2],-0.0659080291,-0.1208360549,0.1318101933,2000,0.3064906054,0.3374
physical_vs_conceptual,Word2Vec Skip-gram[Agglo +L2],0.4760854046,0.1428571429,0.8518410286,2000,0.008481017039,0.0002
tokonoma_as_conceptual,Word2Vec Skip-gram[Agglo +L2],0.3734583928,0.07685563998,0.8430091137,2000,0.05603182438,0.0028
physical_vs_conceptual,BERT Cased (Final)[Agglo +L2],0.3944839114,0.09376664891,0.8550242905,2000,0.04222000566,0.0006
tokonoma_as_conceptual,BERT Cased (Final)[Agglo +L2],0.3036925396,0.04545454545,0.7248369124,2000,0.07972399836,0.0052
