Hypothesis,Model,ARI_Score,CI_Lower,CI_Upper,N_Bootstraps,P_Value,P_Value_Perm
physical_vs_conceptual,Word2Vec CBOW,0.1325854156,0,0.5466081411,2000,0.3416875131,0.2508
tokonoma_as_conceptual,Word2Vec CBOW,0.09957122439,0,0.427480916,2000,0.3612067119,0.285
physical_vs_conceptual,Word2Vec Skip-gram,-0.10964219,-0.1224558097,0.01858736059,2000,0.002309260216,0.5452
tokonoma_as_conceptual,Word2Vec Skip-gram,-0.09542964145,-0.1223796929,0.04811281626,2000,0.02822544737,0.2864
physical_vs_conceptual,BERT Cased (Final),0.8520998174,0.5544554455,1,2000,6.531313202e-14,0
tokonoma_as_conceptual,BERT Cased (Final),0.7189189189,0.379515412,1,2000,5.57566432e-06,0
physical_vs_conceptual,Word2Vec CBOWKMeans+L2,-0.02505029528,-0.06589735803,0.1845878136,2000,0.6950376533,0.899
tokonoma_as_conceptual,Word2Vec CBOWKMeans+L2,-0.002466571466,-0.05344747793,0.2756485849,2000,0.9765612381,1
physical_vs_conceptual,Word2Vec Skip-gramKMeans+L2,-0.09978308026,-0.1223796929,0.08355091384,2000,0.05750866244,0.2962
tokonoma_as_conceptual,Word2Vec Skip-gramKMeans+L2,-0.06589735803,-0.1208360549,0.1084258654,2000,0.2598541455,0.6304
physical_vs_conceptual,BERT Cased (Final)KMeans+L2,0.8520998174,0.5544554455,1,2000,6.531313202e-14,0
tokonoma_as_conceptual,BERT Cased (Final)KMeans+L2,0.7189189189,0.379515412,1,2000,5.57566432e-06,0
physical_vs_conceptual,Word2Vec CBOW[Agglo +L2],-0.08127962085,-0.1208360549,0.138372093,2000,0.2190005044,0.3232
tokonoma_as_conceptual,Word2Vec CBOW[Agglo +L2],-0.05419475405,-0.1208360549,0.2082111437,2000,0.5185176394,0.3926
physical_vs_conceptual,Word2Vec Skip-gram[Agglo +L2],0.5871262866,0.2082111437,1,2000,0.003652008358,0
tokonoma_as_conceptual,Word2Vec Skip-gram[Agglo +L2],0.4735743862,0.1260446053,0.8517110266,2000,0.01052106588,0.0008
physical_vs_conceptual,BERT Cased (Final)[Agglo +L2],0.3944839114,0.09111617312,0.8520998174,2000,0.04214591836,0.001
tokonoma_as_conceptual,BERT Cased (Final)[Agglo +L2],0.3036925396,0.04060913706,0.7245901639,2000,0.08176977809,0.0032
