Hypothesis,Model,ARI_Score,CI_Lower,CI_Upper,N_Bootstraps,P_Value,P_Value_Perm
physical_vs_conceptual,Word2Vec CBOW,0.1325854156,0,0.5466081411,2000,0.3416875131,0.2508
tokonoma_as_conceptual,Word2Vec CBOW,0.09957122439,0,0.427480916,2000,0.3612067119,0.285
physical_vs_conceptual,Word2Vec Skip-gram,-0.10964219,-0.1224558097,0.01858736059,2000,0.002309260216,0.5452
tokonoma_as_conceptual,Word2Vec Skip-gram,-0.09542964145,-0.1223796929,0.04811281626,2000,0.02822544737,0.2864
physical_vs_conceptual,BERT Cased (Final),0.718233945,0.3526433358,1,2000,1.366413533e-05,0
tokonoma_as_conceptual,BERT Cased (Final),0.5972896957,0.2233962264,1,2000,0.002570717548,0
physical_vs_conceptual,Word2Vec CBOWKMeans+L2,0.07745473425,-0.08127962085,0.3764534884,2000,0.5071269839,0.0862
tokonoma_as_conceptual,Word2Vec CBOWKMeans+L2,0.1342334156,-0.06768953069,0.4775771695,2000,0.3345332164,0.0338
physical_vs_conceptual,Word2Vec Skip-gramKMeans+L2,0.4760854046,0.1353558926,0.8518410286,2000,0.009194501565,0.0006
tokonoma_as_conceptual,Word2Vec Skip-gramKMeans+L2,0.3734583928,0.07141871076,0.8477274244,2000,0.05932296542,0.003
physical_vs_conceptual,BERT Cased (Final)KMeans+L2,0.718233945,0.3526433358,1,2000,1.366413533e-05,0
tokonoma_as_conceptual,BERT Cased (Final)KMeans+L2,0.5972896957,0.2233962264,1,2000,0.002570717548,0
physical_vs_conceptual,Word2Vec CBOW[Agglo +L2],0.0251592877,-0.09978308026,0.3732142857,2000,0.834831226,0.6882
tokonoma_as_conceptual,Word2Vec CBOW[Agglo +L2],0.07303315836,-0.08127962085,0.3788198634,2000,0.5337873861,0.1044
physical_vs_conceptual,Word2Vec Skip-gram[Agglo +L2],0.0251592877,-0.09978308026,0.375,2000,0.8354435442,0.6834
tokonoma_as_conceptual,Word2Vec Skip-gram[Agglo +L2],-0.007075087216,-0.08127962085,0.2828836425,2000,0.9392925315,1
physical_vs_conceptual,BERT Cased (Final)[Agglo +L2],0.718233945,0.347826087,1,2000,1.581177277e-05,0
tokonoma_as_conceptual,BERT Cased (Final)[Agglo +L2],0.5972896957,0.2139037433,1,2000,0.002896775709,0
