Hypothesis,Model,ARI_Score,CI_Lower,CI_Upper,N_Bootstraps,P_Value,P_Value_Perm
physical_vs_conceptual,Word2Vec CBOW,0.1325854156,0,0.4614787493,2000,0.2600648613,0.2572
tokonoma_as_conceptual,Word2Vec CBOW,0.09957122439,0,0.427480916,2000,0.3612067119,0.296
physical_vs_conceptual,Word2Vec Skip-gram,-0.05419475405,-0.1208360549,0.2024539877,2000,0.5110976284,0.3854
tokonoma_as_conceptual,Word2Vec Skip-gram,-0.0211584237,-0.1142857143,0.2821153784,2000,0.8342647156,0.699
physical_vs_conceptual,BERT Cased (Final),0.8520998174,0.5544554455,1,2000,6.531313202e-14,0
tokonoma_as_conceptual,BERT Cased (Final),0.7189189189,0.3616177637,1,2000,1.012262856e-05,0
physical_vs_conceptual,Word2Vec CBOWKMeans+L2,0.2082111437,-0.02123577917,0.5902192243,2000,0.1819324201,0.0058
tokonoma_as_conceptual,Word2Vec CBOWKMeans+L2,0.1381772365,-0.03620715316,0.4775771695,2000,0.291770572,0.0388
physical_vs_conceptual,Word2Vec Skip-gramKMeans+L2,0.4760854046,0.1428571429,0.8518410286,2000,0.008481017039,0
tokonoma_as_conceptual,Word2Vec Skip-gramKMeans+L2,0.3734583928,0.0768061639,0.8428881314,2000,0.05600889889,0.0026
physical_vs_conceptual,BERT Cased (Final)KMeans+L2,0.8520998174,0.5544554455,1,2000,6.531313202e-14,0
tokonoma_as_conceptual,BERT Cased (Final)KMeans+L2,0.7189189189,0.3616177637,1,2000,1.012262856e-05,0
physical_vs_conceptual,Word2Vec CBOW[Agglo +L2],0.2082111437,-0.0211584237,0.5902275232,2000,0.181883068,0.0062
tokonoma_as_conceptual,Word2Vec CBOW[Agglo +L2],0.1381772365,-0.03643974301,0.4775771695,2000,0.2919889755,0.036
physical_vs_conceptual,Word2Vec Skip-gram[Agglo +L2],0.5871262866,0.2098408104,1,2000,0.00358262946,0
tokonoma_as_conceptual,Word2Vec Skip-gram[Agglo +L2],0.4735743862,0.1337997749,0.8518410286,2000,0.009727090193,0.0014
physical_vs_conceptual,BERT Cased (Final)[Agglo +L2],0.3944839114,0.09376664891,0.7275249434,2000,0.01468683248,0.0002
tokonoma_as_conceptual,BERT Cased (Final)[Agglo +L2],0.3036925396,0.04060913706,0.7247058824,2000,0.0818214427,0.003
