Hypothesis,Model,ARI_Score,CI_Lower,CI_Upper,N_Bootstraps,P_Value,P_Value_Perm
physical_vs_conceptual,Word2Vec CBOW,0.1325854156,0,0.4614787493,2000,0.2600648613,0.2572
tokonoma_as_conceptual,Word2Vec CBOW,0.09957122439,0,0.427480916,2000,0.3612067119,0.296
physical_vs_conceptual,Word2Vec Skip-gram,-0.10964219,-0.1223796929,0,2000,0.0004447493209,0.5514
tokonoma_as_conceptual,Word2Vec Skip-gram,-0.09542964145,-0.1223796929,0.03211678832,2000,0.01546459496,0.2926
physical_vs_conceptual,BERT Cased (Final),0.718233945,0.3499037347,1,2000,1.48526902e-05,0
tokonoma_as_conceptual,BERT Cased (Final),0.5972896957,0.2225225821,1,2000,0.002599578001,0
physical_vs_conceptual,Word2Vec CBOWKMeans+L2,-0.002271399831,-0.08127962085,0.2821177086,2000,0.9804523509,1
tokonoma_as_conceptual,Word2Vec CBOWKMeans+L2,0.03170842529,-0.06768953069,0.3732158118,2000,0.7780100832,0.5296
physical_vs_conceptual,Word2Vec Skip-gramKMeans+L2,0.3764534884,0.07303315836,0.8346336011,2000,0.05266873097,0.0008
tokonoma_as_conceptual,Word2Vec Skip-gramKMeans+L2,0.2845078626,0.01599070268,0.713899123,2000,0.1100387788,0.0058
physical_vs_conceptual,BERT Cased (Final)KMeans+L2,0.718233945,0.3499037347,1,2000,1.48526902e-05,0
tokonoma_as_conceptual,BERT Cased (Final)KMeans+L2,0.5972896957,0.2225225821,1,2000,0.002599578001,0
physical_vs_conceptual,Word2Vec CBOW[Agglo +L2],-0.09978308026,-0.1223796929,0.07745473425,2000,0.05030412287,0.2912
tokonoma_as_conceptual,Word2Vec CBOW[Agglo +L2],-0.07774066201,-0.1223796929,0.138372093,2000,0.2425202205,0.3242
physical_vs_conceptual,Word2Vec Skip-gram[Agglo +L2],0.8477274244,0.5460554677,1,2000,2.470870219e-13,0
tokonoma_as_conceptual,Word2Vec Skip-gram[Agglo +L2],0.7098981751,0.3401243075,1,2000,2.473993187e-05,0
physical_vs_conceptual,BERT Cased (Final)[Agglo +L2],0.718233945,0.3700547778,1,2000,7.843938571e-06,0
tokonoma_as_conceptual,BERT Cased (Final)[Agglo +L2],0.5972896957,0.2209572947,1,2000,0.002651862796,0.0002
